cves,cve_counts,date,title,link,text
CVE-2025-42599,"{""CVE-2025-42599"": 2}",2025-04-22,Active! Mail RCE flaw exploited in attacks on Japanese orgs,https://www.bleepingcomputer.com/news/security/active-mail-rce-flaw-exploited-in-attacks-on-japanese-orgs/,"An Active! Mail zero-day remote code execution vulnerability is actively exploited in attacks on large organizations in Japan. Active! mail is a web-based email client developed initially by TransWARE and later acquired by Qualitia, both Japanese companies. While it's not widely used worldwide like Gmail or Outlook, Active! is often used as a groupware component in Japanese-language environments of large corporations, universities, government agencies, and banks. According to the vendor, Active! isused in over 2,250 organizations, boasting over 11,000,000 accounts, making it a significant player in the country's business webmail market. Late last week, Qualitia released a security bulletin about a stack-based buffer overflow vulnerability tracked under CVE-2025-42599 (CVSS v3 score: 9.8, ""critical"") impacting all versions of Active! up to and including 'BuildInfo: 6.60.05008561' on all supported OS platforms. ""If a maliciously crafted request is sent by a remote third party, there is a possibility of arbitrary code execution or a denial-of-service (DoS) condition being triggered,""reads the bulletin. Although Qualitia mentions investigating whether the flaw has been exploited, Japan's CERT hasconfirmed its active exploitation status, urging all users to update to Active! Mail 6 BuildInfo: 6.60.06008562 as soon as possible. Japanese web hosting and IT services (SMB) provider Kagoya Japan reported several external attacks over the weekend, prompting it to temporarily suspend the service. ""We suspect that this issue is related to a vulnerability disclosed by QUALITIA (the developer),""reads the bulletin Kagoya published earlier. A similar service outage following believed exploitation attempts was also reported by web hosting and IT services provider WADAX. ""At this stage, we cannot yet guarantee the safe use of the service for our customers,""announced WADAX. ""Therefore, with customer safety as our top priority, we have temporarily suspended the Active! mail service as a precaution."" Macnica security researcherYutaka Sejiyamatold BleepingComputer that at least 227 internet-exposed Active! servers that are potentially exposed to these attacks, with 63 of them used in universities. Japan's CERT hasproposed specific mitigation stepsfor those unable to apply the security update immediately, including configuring the Web Application Firewall (WAF) to enable HTTP request body inspection and block multipart/form-data headers if their size exceeds a certain threshold. Update 4/23- Japanese internet services provider IIJ has also announced it was impacted by attacks targeting CVE-2025-42599,compromising customer information. The attacks werefirst detected on April 15, indicating exploitation of the flaw as a zero-day. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP fixes suspected NetWeaver zero-day exploited in attacks Critical RCE flaw in Apache Tomcat actively exploited in attacks Critical PHP RCE vulnerability mass exploited in new attacks Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw CISA flags Craft CMS code injection flaw as exploited in attacks"
CVE-2025-32433,"{""CVE-2025-32433"": 1}",2025-04-19,"Critical Erlang/OTP SSH RCE bug now has public exploits, patch now",https://www.bleepingcomputer.com/news/security/public-exploits-released-for-critical-erlang-otp-ssh-flaw-patch-now/,"Public exploits are now available for a critical Erlang/OTP SSH vulnerability tracked as CVE-2025-32433, allowing unauthenticated attackers to remotely execute code on impacted devices. Researchers at the Ruhr University Bochum in Germany disclosed the flaw on Wednesday, warning that all devices running the daemon were vulnerable. ""The issue is caused by a flaw in the SSH protocol message handling which allows an attacker to send connection protocol messages prior to authentication,"" readsa disclosureon the OpenWall vulnerability mailing list. The flaw was fixed in versions 25.3.2.10 and 26.2.4, but as the paltform is commonly used in telecom infrastructure, databases, and high-availability systems, it may not be easy to update devices immediately. However, the situation has become more urgent, as multiple cybersecurity researchers have privately created exploits that achieve remote code execution on vulnerable devices. This includesPeter Girnusof the Zero Day Initiative and researchers from Horizon3, who said the flaw wassurprisingly easy to exploit. Soon after, PoC exploits werepublished on GitHubby ProDefense, and another was published anonymously on Pastebin, with both quickly shared on social media. Girnus confirmed to BleepingComputer that ProDefense's PoC is valid but was not able to successfully exploit Erlang/OTP SSH using the one posted to Pastebin. Now that public exploits are available, threat actors will soon begin scanning for vulnerable systems and exploiting them. ""SSH is the most commonly used remote access management protocol so I expect this combination to be widespread in critical infrastructure,"" Girnus told BleepingComputer. ""It's a bit concerning especially considering how frequently telcos are targeted by nation state APTs such as Volt and Salt Typhoon for example."" Girnus refers to the Chinese state-sponsored hacking groups responsible forhacking edge networking equipmentandbreaching telecommunications providersin the US and worldwide. According toShodan queryshared by Girnus, there are over 600,000 IP addresses running Erlang/OTP. However, the researcher says the majority of these devices are running CouchDB, which is not impacted by the vulnerability. An Apache CouchDB representative also confirmed to BleepingComputer that CouchDB does not use the SSH server or client features from Erlang/OTP, so is not vulnerable. Now that public exploits are available, it is strongly advised that all devices running Erlang OTP SSH be upgraded immediately before threat actors compromise them. Update 4/21/25: Updated to explain that CouchDB is not vulnerable to this flaw. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Critical Erlang/OTP SSH pre-auth RCE is 'Surprisingly Easy' to exploit, patch now CISA tags Broadcom Fabric OS, CommVault flaws as exploited in attacks SAP fixes suspected NetWeaver zero-day exploited in attacks Craft CMS RCE exploit chain used in zero-day attacks to steal data CISA flags Craft CMS code injection flaw as exploited in attacks"
CVE-2025-2492,"{""CVE-2025-2492"": 2}",2025-04-18,ASUS warns of critical auth bypass flaw in routers using AiCloud,https://www.bleepingcomputer.com/news/security/asus-warns-of-critical-auth-bypass-flaw-in-routers-using-aicloud/,"ASUS is warning about an authentication bypass vulnerability in routers with AiCloud enabled that could allow remote attackers to perform unauthorized execution of functions on the device. The vulnerability, tracked underCVE-2025-2492and rated critical (CVSS v4 score: 9.2), is remotely exploitable via a specially crafted request and requires no authentication, making it particularly dangerous. ""An improper authentication control vulnerability exists in certain ASUS router firmware series,""reads the vendor's bulletin. ""This vulnerability can be triggered by a crafted request, potentially leading to unauthorized execution of functions."" AiCloud is a cloud-based remote access feature built into many ASUS routers, turning them into mini private cloud servers. It allows users to access files stored on USB drives connected to the router from anywhere over the internet, stream media remotely, sync files between home networks and other cloud storage services, and share files with others via links. The vulnerability discovered in AiCloud impacts a broad range of models, with ASUS releasing fixes for multiple firmware branches, including 3.0.0.4_382 series, 3.0.0.4_386 series, 3.0.0.4_388 series, and 3.0.0.6_102 series. Users are recommended to upgrade to the latest firmware version available for their model, which they can find on the vendor'ssupport portalor theproduct finder page. Detailed instructions on how to apply firmware updates areavailable here. ASUS also advises users to use distinct passwords to secure their wireless network and router administration page, and make sure they're at least 10 characters long with a mix of letters, numbers, and symbols. Impacted users of end-of-life products are advised to disable AiCloud entirely and turn off internet access for WAN, port forwarding, DDNS, VPN server, DMZ, port triggering, and FTP services. While there are no reports of active exploitation or a public proof-of-concept exploit for CVE-2025-2492, attackers commonly target these flaws to infect devices with malware or recruit them into DDoS swarms. Therefore, it is strongly advised that ASUS router users upgrade to the latest firmware as soon as possible. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. ASUS releases fix for AMI bug that lets hackers brick servers SAP fixes suspected NetWeaver zero-day exploited in attacks Hackers exploit WordPress plugin auth bypass hours after disclosure New Mirai botnet behind surge in TVT DVR exploitation Newest Ivanti SSRF zero-day now under mass exploitation"
CVE-2021-20035,"{""CVE-2021-20035"": 3}",2025-04-18,SonicWall SMA VPN devices targeted in attacks since January,https://www.bleepingcomputer.com/news/security/sonicwall-sma-vpn-devices-targeted-in-attacks-since-january/,"A remote code execution vulnerability affecting SonicWall Secure Mobile Access (SMA) appliances has been under active exploitation since at least January 2025, according to cybersecurity company Arctic Wolf. This security flaw (CVE-2021-20035) impacts SMA 200, SMA 210, SMA 400, SMA 410, and SMA 500v devices and was patched almost four years ago, in September 2021, when SonicWall said it could only be exploited to take down vulnerable appliances in denial-of-service (DoS) attacks. However, the company updated the four-year-old security advisory on Monday toflag the security bug as exploited in attacks, expand the impact to include remote code execution, and upgrade the CVSS severity score from medium to high severity. ""This vulnerability is believed to be actively exploited in the wild. As a precautionary measure, SonicWall PSIRT has updated the summary and revised the CVSS score to 7.2,"" SonicWall said. Successful exploitation can allow remote threat actors with low privileges to exploit an ""improper neutralization of special elements in the SMA100 management interface"" to inject arbitrary commands as a 'nobody' user and execute arbitrary code in low-complexity attacks. CISA has also added the vulnerability to itsKnown Exploited Vulnerabilities catalog, confirmingit's now being abused in the wildand ordering Federal Civilian Executive Branch (FCEB) agencies to secure their networks against ongoing attacks until May 7th. Days after SonicWall tagged the security bug as exploited in the wild without sharing when the attacks started, cybersecurity company Arctic Wolf reported that threat actors used CVE-2021-20035 exploits in attacks as early as January 2025. In this campaign, the attackers have also used a local super admin account with a ""password"" default password to target SMA 100 appliances with the management interface exposed online. ""Arctic Wolf has identified an ongoing VPN credential access campaign targeting SMA 100 series appliances, with a starting timeframe as early as January 2025, extending into April 2025,""the cybersecurity firm said. ""One noteworthy aspect of the campaign was the use of a local super admin account (admin@LocalDomain) on these appliances, which has an insecure default password of password."" To block CVE-2021-20035 attacks targeting their SonicWall appliances, Arctic Wolf advised network defenders to limit VPN access to the minimum necessary accounts, deactivate unneeded accounts, enable multi-factor authentication for all accounts, and reset passwords for all local accounts on SonicWall SMA firewalls. In February, SonicWall also urged customers in January to patch acritical vulnerability affecting SMA1000 secure access gatewaysfollowing reports that it had already been exploited in zero-day attacks and, one month later, warned of anactively exploited authentication bypass flawin Gen 6 and Gen 7 firewalls that can let hackershijack VPN sessions. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. CISA tags SonicWall VPN flaw as actively exploited in attacks SonicWall warns of more VPN flaws exploited in attacks Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks Active! Mail RCE flaw exploited in attacks on Japanese orgs"
CVE-2017-11882; CVE-2021-40449,"{""CVE-2017-11882"": 1, ""CVE-2021-40449"": 1}",2025-04-18,Chinese hackers target Russian govt with upgraded RAT malware,https://www.bleepingcomputer.com/news/security/chinese-hackers-target-russian-govt-with-upgraded-rat-malware/,"Chinese-speaking IronHusky hackers are targeting Russian and Mongolian government organizations using upgraded MysterySnail remote access trojan (RAT) malware. Security researchers at Kaspersky's Global Research and Analysis Team (GReAT) spotted the updated implant while investigating recent attacks where the attackers deployed the RAT malware using a malicious MMC script camouflaged as a Word document, which downloaded second-stage payloads and gained persistence on compromised systems. One of the malicious payloads is an unknown intermediary backdoor that helps transfer files between the command and control servers and hacked devices, run command shells, create new processes, delete files, and more. ""In our telemetry, these files turned out to leave footprints of the MysterySnail RAT malware, an implant we described back in 2021. In observed infection cases, MysterySnail RAT was configured to persist on compromised machines as a service,""Kaspersky said. ""Notably, a short time after we blocked the recent intrusions related to MysterySnail RAT, we observed the attackers to continue conducting their attacks, by deploying a repurposed and more lightweight version of MysterySnail RAT. This version consists of a single component, and that's why we dubbed it MysteryMonoSnail."" As they found, the upgraded RAT malware supports dozens of commands, allowing attackers to manage services on the compromised device, execute shell commands, spawn and kill processes, and manage files, among other things. This latest backdoor version is similar to the original MysterySnail RAT, which Kasperskyfirst detected in late August 2021in widespread espionage attacks against IT companies, military/defense contractors, and diplomatic entities in Russia and Mongolia. At the time, the IronHusky hacking group was observed deploying the malware on systems compromised using zero-day exploits targeting a Windows Win32k kernel driver vulnerability (CVE-2021-40449). The Chinese APT wasfirst spotted by Kaspersky in 2017while investigating a campaign targeting Russian and Mongolian government entities with the end goal of collecting intelligence on Russian-Mongolian military negotiations. One year later, Kaspersky alsoobserved themexploiting a Microsoft Office memory corruption vulnerability (CVE-2017-11882) to spread RATs typically used by Chinese hacking groups, including PoisonIvy and PlugX. TheKaspersky reportpublished on Thursday includes indicators of compromise and additional technical details about IronHusky's recent attacks using the MysterySnail RAT. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. New ResolverRAT malware targets pharma and healthcare orgs worldwide Microsoft: New RAT malware used for crypto theft, reconnaissance Pro-Russia hacktivists bombard Dutch public orgs with DDoS attacks Hackers abuse IPv6 networking feature to hijack software updates France ties Russian APT28 hackers to 12 cyberattacks on French orgs"
CVE-2025-20150; CVE-2024-20439; CVE-2025-20236; CVE-2025-20178,"{""CVE-2025-20150"": 1, ""CVE-2024-20439"": 2, ""CVE-2025-20236"": 1, ""CVE-2025-20178"": 1}",2025-04-18,Cisco Webex bug lets hackers gain code execution via meeting links,https://www.bleepingcomputer.com/news/security/cisco-webex-bug-lets-hackers-gain-code-execution-via-meeting-links/,"Cisco has released security updates for a high-severity Webex vulnerability that allows unauthenticated attackers to gain client-side remote code execution using malicious meeting invite links. Tracked as CVE-2025-20236, this security flaw was found in the Webex custom URL parser and can be exploited by tricking users into downloading arbitrary files, which lets threat actors execute arbitrary commands on systems running unpatched software in low complexity attacks. ""This vulnerability is due to insufficient input validation when Cisco Webex App processes a meeting invite link,"" Ciscoexplainedin a security advisory released this week. ""An attacker could exploit this vulnerability by persuading a user to click a crafted meeting invite link and download arbitrary files. A successful exploit could allow the attacker to execute arbitrary commands with the privileges of the targeted user."" This security bug impacts Cisco Webex App installations regardless of operating system or system configuration. There are no workarounds, so software updates are required to block potential exploitation attempts. This week, Cisco also released security patches for a privilege escalation flaw (CVE-2025-20178) in Secure Network Analytics' web-based management interface, which can let attackers with admin credentials run arbitrary commands as root. Cisco also addressed a Nexus Dashboard vulnerability (CVE-2025-20150) that allows unauthenticated attackers to enumerate LDAP user accounts remotely and determine which usernames are valid. However, the company's Product Security Incident Response Team (PSIRT) found no proof-of-concept exploits in the wild and no evidence of malicious activity targeting systems unpatched against security flaws fixed this Wednesday. Earlier this month, Cisco alsowarned adminsto patch a critical Cisco Smart Licensing Utility (CSLU) static credential vulnerability (CVE-2024-20439) that exposes a built-in backdoor admin account and isnow actively exploited in attacks. In late March, CISA added the CVE-2024-20439 flaw to itsKnown Exploited Vulnerabilities Catalogand ordered U.S. federal agencies to secure their networks against ongoing attacks within three weeks by April 21. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Apple 'AirBorne' flaws can lead to zero-click AirPlay RCE attacks Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks Active! Mail RCE flaw exploited in attacks on Japanese orgs SonicWall SMA VPN devices targeted in attacks since January"
CVE-2025-32433,"{""CVE-2025-32433"": 3}",2025-04-17,"Critical Erlang/OTP SSH pre-auth RCE is 'Surprisingly Easy' to exploit, patch now",https://www.bleepingcomputer.com/news/security/critical-erlang-otp-ssh-pre-auth-rce-is-surprisingly-easy-to-exploit-patch-now/,"A critical vulnerability in the Erlang/OTP SSH, tracked as CVE-2025-32433, has been disclosed that allows for unauthenticated remote code execution on vulnerable devices. The flaw was discovered by Fabian Bäumer, Marcus Brinkmann, Marcel Maehren, and Jörg Schwenk of the Ruhr University Bochum in Germany and given a maximum severity score of 10.0. All devices running the Erlang/OTP SSH daemon are impacted by the vulnerability and are advised to upgrade to versions 25.3.2.10 and 26.2.4 to fix the flaw. Erlang is a programming language known for its fault-tolerance and concurrency, making it commonly used in telecom infrastructure and high -availability systems. Erlang/OTP is a set of libraries, design principles, and tools built on top of Erlang that provides components like the SSH application for remote access. The CVE-2025-32433 vulnerability is caused by the improper handling of certain pre-authentication protocol messages within the SSH daemon provided by Erlang/OTP's SSH application. ""The issue is caused by a flaw in the SSH protocol message handling which allows an attacker to send connection protocol messages prior to authentication,"" readsa disclosureon the OpenWall vulnerability mailing list. Any commands executed through the vulnerability will be run with the same privileges as the SSH daemon. In many cases, the daemon runs as root, which would allow attackers to fully compromise the system. Horizon3's Attack Team, known for their exploit research, warned on X that they had reproduced the flaw and found it ""surprisingly easy,"" demonstrating a PoC that writes a file as root on affected systems. ""Just finished reproducing CVE-2025-32433 and putting together a quick PoC exploit — surprisingly easy. Wouldn't be shocked if public PoCs start dropping soon. If you're tracking this, now's the time to take action,""Horizon3 posted to X. Organizations are strongly advised to upgrade to the fixed versions immediately before a PoC becomes public and the flaw is mass-exploited. For systems, such as industrial or mission-critical devices that can't be easily updated, it is advised that access to SSH be restricted to trusted IPs, or the SSH daemon should be turned off if not needed. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Critical Erlang/OTP SSH RCE bug now has public exploits, patch now SAP fixes suspected NetWeaver zero-day exploited in attacks Active! Mail RCE flaw exploited in attacks on Japanese orgs CentreStack RCE exploited as zero-day to breach file sharing servers WhatsApp flaw can let attackers run malicious code on Windows PCs"
CVE-2025-24054,"{""CVE-2025-24054"": 4}",2025-04-17,Windows NTLM hash leak flaw exploited in phishing attacks on governments,https://www.bleepingcomputer.com/news/security/windows-ntlm-hash-leak-flaw-exploited-in-phishing-attacks-on-governments/,"A Windows vulnerability that exposes NTLM hashes using .library-ms files is now actively exploited by hackers in phishing campaigns targeting government entities and private companies. The flaw tracked asCVE-2025-24054was fixed in Microsoft'sMarch 2025 Patch Tuesday. Initially, it was not marked as actively exploited and was assessed as 'less likely' to be. However, Check Point researchers report having observed active exploitation activity for CVE-2025-24054 only a few days after patches became available, culminating between March 20 and 25, 2025. Although one IP address behind these attacks was previously linked to the Russia state-sponsored threat group APT28 ('Fancy Bear'), it is not enough evidence for confident attribution. NTLM (New Technology LAN Manager) is a Microsoft authentication protocol that uses challenge-response negotiation involving hashes instead of transmitting plaintext passwords to authenticate users. While NTLM avoids transmitting plaintext passwords, it is no longer considered secure due to vulnerabilities likereplay attacksandbrute-force cracking of captured hashes. Due to this, Microsoft hasbegun phasing out NTLM authenticationin favor of Kerberos or Negotiate. In attacks seen by Check Point, phishing emails were sent to entities in Poland and Romania that included a Dropbox link to a ZIP archive, containing a .library-ms file. A library-ms file is a legitimate file type that, when opened, shows aWindows library, or virtual container, that contains files and folders from different configured sources. In this phishing attack, the library-ms file was created to contain a path to a remote SMB server under the attacker's control. When extracting a ZIP file that contains a .library-ms file, Windows Explorer will interact with it automatically, triggering the CVE-2025-24054 flaw and causing Windows to make an SMB connection to the URL specified in the file. When Windows connects to the remote SMB server, it will attempt to authenticate via NTLM, allowing the attacker to capture the user's NTLM hashes. In a later campaign, Check Point discovered phishing emails that contained .library-ms attachments, without an archive. Simply downloading the .library-ms file was enough to trigger NTLM authentication to the remote server, demonstrating that archives were not required to exploit the flaw. ""On March 25, 2025, Check Point Research discovered a campaign targeting companies around the world, distributing these files without being zipped,""explains Check Point. ""According to Microsoft, this exploit is triggered with minimal user interaction with a malicious file, such as selecting (single-clicking), inspecting (right-clicking), or performing any action other than opening or executing the file."" The malicious archive also contains three more files, namely 'xd.url,' 'xd.website,' and 'xd.link,' which leverage older NTLM hash leak flaws and are most likely included for redundancy in case the 'library-ms' method fails. Check Point says the attacker-controlled SMB servers in this campaign were using the 159.196.128[.]120 and 194.127.179[.]157 IP addresses. Capturing NTLM hashes could open the way to authentication bypass and privilege escalation, so even though CVE-2025-24054 is only evaluated as a ""medium"" severity issue, its potential consequences are grave. Given the low interaction required to exploit, organizations should treat this as a high-risk issue. It is advised that all organizations should install the March 2025 updates and turn off NTLM authentication if it is not required. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. New Mirai botnet behind surge in TVT DVR exploitation New Windows zero-day exploited by 11 state hacking groups since 2017 Critical PHP RCE vulnerability mass exploited in new attacks CISA tags Broadcom Fabric OS, CommVault flaws as exploited in attacks SAP fixes suspected NetWeaver zero-day exploited in attacks"
CVE-2021-20035,"{""CVE-2021-20035"": 2}",2025-04-17,CISA tags SonicWall VPN flaw as actively exploited in attacks,https://www.bleepingcomputer.com/news/security/cisa-tags-sonicwall-vpn-flaw-as-actively-exploited-in-attacks/,"On Wednesday, CISA warned federal agencies to secure their SonicWall Secure Mobile Access (SMA) 100 series appliances against attacks exploiting a high-severity remote code execution vulnerability. Tracked asCVE-2021-20035, this security flaw impacts SMA 200, SMA 210, SMA 400, SMA 410, and SMA 500v (ESX, KVM, AWS, Azure) devices. Successful exploitation can allow remote threat actors with low privileges to execute arbitrary code in low-complexity attacks. ""Improper neutralization of special elements in the SMA100 management interface allows a remote authenticated attacker to inject arbitrary commands as a 'nobody' user, which could potentially lead to code execution,"" SonicWallexplainsin an advisory updated this week. SonicWall patched this vulnerability almost four years ago, in September 2021, when the company said it could only be exploited to take down vulnerable appliances in denial-of-service (DoS) attacks. However, on Monday, it updated the CVE-2021-20035 security advisory to flag it as exploited in attacks, upgrade the CVSS severity score from medium to high, and expand the impact to include code execution. ""This vulnerability is believed to be actively exploited in the wild. As a precautionary measure, SonicWall PSIRT has updated the summary and revised the CVSS score to 7.2,"" SonicWall said. Yesterday, CISA confirmed thevulnerability is now being abused in the wildby adding it to theKnown Exploited Vulnerabilities catalog, which lists security flaws flagged by the cybersecurity agency as actively exploited in attacks. As mandated by the Binding Operational Directive (BOD) 22-01 issued in November 2021, Federal Civilian Executive Branch (FCEB) agencies now have three weeks, until May 7th, to secure their networks against ongoing attacks. While BOD 22-01 only applies to U.S. federal agencies, all network defenders should prioritize patching this security vulnerability as soon as possible to block potential breach attempts. ""These types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise,""CISA warned. In February, SonicWall also warned of anactively exploited authentication bypass flawin Gen 6 and Gen 7 firewalls that could let hackershijack VPN sessions. One month earlier, the company urged customers to patch acritical vulnerability affecting SMA1000 secure access gatewaysfollowing reports that it had already been exploited in zero-day attacks. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SonicWall SMA VPN devices targeted in attacks since January Critical Ivanti RCE flaw with public exploit now used in attacks Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks CISA flags Craft CMS code injection flaw as exploited in attacks"
CVE-2025-3102,"{""CVE-2025-3102"": 2}",2025-04-10,Hackers exploit WordPress plugin auth bypass hours after disclosure,https://www.bleepingcomputer.com/news/security/hackers-exploit-wordpress-plugin-auth-bypass-hours-after-disclosure/,"Hackers started exploiting a high-severity flaw that allows bypassing authentication in the OttoKit (formerly SureTriggers) plugin for WordPress just hours after public disclosure. Users are strongly recommended to upgrade to the latest version of OttoKit/SureTriggers, currently 1.0.79, released at the beginning of the month. TheOttoKit WordPress pluginallows users to connect plugins and external tools like WooCommerce, Mailchimp, and Google Sheets, automate tasks like sending emails and adding users, or updating CRMs without code. Statisticsshowthat the product is active on 100,000 websites. Yesterday,Wordfence disclosedan authentication bypass vulnerability in OttoKit, identified as CVE-2025-3102. The flaw impacts all versions of SureTriggers/OttoKit up to 1.0.78. The flaw stems from a missing empty value check in theauthenticate_user()function, which handles REST API authentication. Exploitation to be possible if the plugin is not configured with an API key, which causes the storedsecret_keyto remain empty. An attacker could exploit this by sending an emptyst_authorizationheader to pass the check and grant unauthorized access to protected API endpoints. Essentially, CVE-2025-3102 allows attackers to create new administrator accounts without authentication, posing a high risk of full site takeover. Wordfence received a report about the flaw from security researcher 'mikemyers', who earned a bounty of $1,024 for the discovery in mid-March. The plugin vendor was contacted on April 3 with the full exploitation details, and they released a fix via version 1.0.79 on the same day. However, hackers quickly jumped at the opportunity to exploit the issue, taking advantage of administrators' delay in updating the plugin to address the security problem. Researchers at WordPress security platform Patchstack are warning that the first exploitation attempts in the wild were logged only a few hours after the disclosure of the flaw. “Attackers were quick to exploit this vulnerability, with the first recorded attempt occurring just four hours after it was added as a vPatch to our database,”reports Patchstack. “This swift exploitation highlights the critical need to apply patches or mitigations immediately upon the public disclosure of such vulnerabilities,” the researchers say. The threat actors attempt to create new administrator accounts using randomized username/password and email address combination, a sign of task automation. If you’re using OttoKit/SureTriggers, upgrade to version 1.0.79 as soon as possible and check logs for unexpected admin accounts or other user roles, installation of plugins/themes, database access events, and modification of security settings. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP fixes suspected NetWeaver zero-day exploited in attacks New Mirai botnet behind surge in TVT DVR exploitation Newest Ivanti SSRF zero-day now under mass exploitation Critical auth bypass bug in CrushFTP now exploited in attacks The 4 WordPress flaws hackers targeted the most in Q1 2025"
CVE-2025-24983; CVE-2025-29824; CVE-2023-28252,"{""CVE-2025-24983"": 1, ""CVE-2025-29824"": 3, ""CVE-2023-28252"": 1}",2025-04-08,Microsoft: Windows CLFS zero-day exploited by ransomware gang,https://www.bleepingcomputer.com/news/security/microsoft-windows-clfs-zero-day-exploited-by-ransomware-gang/,"Microsoft says the RansomEXX ransomware gang has been exploiting a high-severity zero-day flaw in the Windows Common Log File System to gain SYSTEM privileges on victims' systems. The vulnerability, tracked asCVE-2025-29824, was patched duringthis month's Patch Tuesdayand was only exploited in a limited number of attacks. CVE-2025-29824 is due to a use-after-free weakness that lets local attackers with low privileges gain SYSTEM privileges in low-complexity attacks that don't require user interaction. While the company has issued security updates for impacted Windows versions, it delayed releasing patches for systems running Windows 10 LTSB 2015 and said they would be released as soon as possible. ""The targets include organizations in the information technology (IT) and real estate sectors of the United States, the financial sector in Venezuela, a Spanish software company, and the retail sector in Saudi Arabia,""Microsoft revealed today. ""Customers running Windows 11, version 24H2 are not affected by the observed exploitation, even if the vulnerability was present. Microsoft urges customers to apply these updates as soon as possible."" Microsoft linked these attacks to the RansomEXX ransomware gang, which it tracks as Storm-2460. The attackers first installed the PipeMagic backdoor malware on compromised systems, which was used to deploy the CVE-2025-29824 exploit, ransomware payloads, and !_READ_ME_REXX2_!.txt ransom notes after encrypting files. ​As ESET reported last month, PipeMagic has also been used to deploy exploitstargeting a Windows Win32 Kernel Subsystem zero-day(CVE-2025-24983) since March 2023. Discovered by Kaspersky in 2022, the malware can harvest sensitive data, provides full remote access to infected devices, and enables attackers to deploy additional malicious payloads to move laterally through victims' networks. In 2023, Kaspersky spotted this backdoor while investigatingNokoyawa ransomware attacks. These attacks exploited another Windows Common Log File System Driver zero-day, a privilege escalation flaw tracked asCVE-2023-28252. TheRansomEXX ransomware operationstarted as Defray in 2018 but wasrebranded to RansomEXXand became much more active starting June 2020. This ransomware gang has also targeted high-profile organizations, includingcomputer hardware giant GIGABYTE,Konica Minolta, theTexas Department of Transportation(TxDOT),Brazil's court system,Montreal's STM public transport system, andgovernment software provider Tyler Technologies. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. New Windows zero-day leaks NTLM hashes, gets unofficial patch EncryptHub linked to MMC zero-day attacks on Windows systems New Windows zero-day exploited by 11 state hacking groups since 2017 Microsoft patches Windows Kernel zero-day exploited since 2023 Microsoft March 2025 Patch Tuesday fixes 7 zero-days, 57 flaws"
